scene,Center_x,Center_y,patch,patch_cal,category,Head_x,Head_y,Tail_x,Tail_y,UpperLeft_x,UpperLeft_y,LowerRight_x,LowerRight_y,Manual_Length,Center_longitude,Center_latitude,North_Direction,Chip_Direction,Incidence,Elevation,Slant_Range_Time,MMSI,Nav_Status,Rot,Sog,AIS_Longitude,AIS_Latitude,Projected_Latitude,Projected_Longitude,Cog,True_Head,AIS_Length,AIS_Width,Draught,Name,Ship_Type,Length_overall,Breadth_extreme,Elaborated_type,Gross_tonnage,Deadweight,patch_vv_label,patch_vh_label,patch_vv_actual_file,patch_vh_actual_file,patch_cal_vv_label,patch_cal_vh_label,patch_cal_vv_actual_file,patch_cal_vh_actual_file,patch_uint8_vv_label,patch_uint8_vh_label,patch_uint8_vv_actual_file,patch_uint8_vh_actual_file,patch_rgb_vv_label,patch_rgb_vh_label,patch_rgb_vv_actual_file,patch_rgb_vh_actual_file,polarization_vv,polarization_vh,main_polarization,available_polarizations,gfw_lookup_status,gfw_total,gfw_vessel_id,gfw_ssvid,gfw_name,gfw_flag,gfw_callsign,gfw_imo,gfw_shiptype,gfw_shiptype_source,gfw_geartype,gfw_geartype_source,gfw_self_period_from,gfw_self_period_to,gfw_registry_match,gfw_registry_ssvid,gfw_registry_name,gfw_registry_flag,gfw_registry_imo,gfw_registry_length_m,gfw_registry_width_m,gfw_registry_draught_m,gfw_registry_tonnage_gt,gfw_registry_deadweight,gfw_error,head_tail_status,head_tail_method,head_tail_confidence,head_tail_pixel_resolution_m,head_tail_length_pixels,sar_axis_bearing_mod180,sar_axis_elongation,sar_axis_component_area,sar_axis_threshold_percentile,sar_axis_consistency_deg,ais_motion_bearing,ais_motion_distance_km,ais_before_timestamp,ais_after_timestamp,ais_before_lat,ais_before_lon,ais_after_lat,ais_after_lon,ais_nearest_scene_distance_km,axis_ais_angle_difference_deg,head_tail_error,head_tail_pass2_status,head_tail_pass2_error,head_tail_axis_source,head_tail_vv_axis_bearing_mod180,head_tail_vh_axis_bearing_mod180,head_tail_cross_pol_difference_deg,gfw_sar_bearing_status,gfw_sar_bearing,gfw_sar_bearing_feature_id,gfw_sar_bearing_timestamp,gfw_sar_bearing_match_distance_m,gfw_sar_bearing_existing_head_difference_deg,gfw_sar_bearing_error,gfw_dataset,gfw_registry_tonnage_gt_source,gfw_registry_deadweight_source,IMO,GT,DWT,IMO_source,GT_source,DWT_source,UpperLeft_LowerRight_status,UpperLeft_LowerRight_source,IMO_source_url,GT_source_url,vesselfinder_gt,vesselfinder_imo,vesselfinder_mmsi,vesselfinder_name,vesselfinder_source_url,vesselfinder_gt_status,vesselfinder_imo_status,boat_agent_imo,boat_agent_gt,boat_agent_name,boat_agent_source_url,boat_agent_imo_status,DWT_source_url,shipxplorer_imo,shipxplorer_gt,shipxplorer_dwt,shipxplorer_name,shipxplorer_source_url,shipxplorer_status,patch_size,source_dataset,Name_source,Length_overall_source,Length_overall_source_url
S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,10100,6081,Cargo_x10100_y6081.tif,Cargo_x10100_y6081.tif,Cargo,10101,6085,10099,6077,10068,6049,10132,6113,74.7756271,118.83538922238463,-3.521031976501366,,,,,,525021128,,,,,,,,,,,,,KM.PANTOKRATOR,CARGO,,,Cargo,5920.0,1280.0,Cargo_x10100_y6081_vv.tif,Cargo_x10100_y6081_vh.tif,Cargo_x10100_y6081.tif,Cargo_x10100_y6081_vh.tif,Cargo_x10100_y6081_vv.tif,Cargo_x10100_y6081_vh.tif,Cargo_x10100_y6081.tif,Cargo_x10100_y6081_vh.tif,Cargo_x10100_y6081_vv.tif,Cargo_x10100_y6081_vh.tif,Cargo_x10100_y6081.tif,Cargo_x10100_y6081_vh.tif,Cargo_x10100_y6081_vv.png,Cargo_x10100_y6081_vh.png,Cargo_x10100_y6081.png,Cargo_x10100_y6081_vh.png,VV,VH,VV,"VV,VH",matched,2,1a7bcd568-8cbc-cca6-8a68-724b1cd6139f,525021128,KM.PANTOKRATOR,IDN,PMSI,8611647.0,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2013-02-02T16:12:01Z,2026-06-01T23:35:04Z,registry_ssvid_exact,525021128.0,PANTOKRATOR,IDN,8611647.0,,,,5920.0,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,7.477562709999999,176.75563626936372,7.102936457858327,52.0,98.0,0.2315946228652023,163.332463115241,23.21458333327684,2026-02-01T21:00:00+00:00,2026-02-01T22:00:00+00:00,-3.39,118.8000030517578,-3.59,118.86000061035156,8.14080062151257,13.423173154122708,,already_filled,,,,,,exact_scene_position_match,162.89999389648438,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A;118.8353890;-3.5210320,1769982241,0.02481932456829711,3.0637626355891143,,public-global-vessel-identity:v4.0,GFW registryInfo.tonnageGt,,8611647.0,5920.0,1280.0,GFW registryInfo.imo,GFW registryInfo.tonnageGt,"Maritime Optima vessel page, IMO/MMSI exact match",derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,,,,,,,,,,,,,,https://maritimeoptima.com/public/vessels/pages/imo%3A8611647/mmsi%3A525021128/KM_PANTOKRATOR.html,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
S1A_IW_GRDH_1SDV_20260205T211120_20260205T211145_063089_07EB08_89B0,10281,2038,Cargo_x10281_y2038.tif,Cargo_x10281_y2038.tif,Cargo,10277,2038,10285,2038,10249,2006,10313,2070,77.6232,126.68402090627264,-4.831942293517776,,,,,,525012397,,,,,,,,,,,,,KM INTI MULIA,CARGO,,,Cargo,1568.0,1570.0,Cargo_x10281_y2038_vv.tif,Cargo_x10281_y2038_vh.tif,Cargo_x10281_y2038.tif,Cargo_x10281_y2038_vh.tif,Cargo_x10281_y2038_vv.tif,Cargo_x10281_y2038_vh.tif,Cargo_x10281_y2038.tif,Cargo_x10281_y2038_vh.tif,Cargo_x10281_y2038_vv.tif,Cargo_x10281_y2038_vh.tif,Cargo_x10281_y2038.tif,Cargo_x10281_y2038_vh.tif,Cargo_x10281_y2038_vv.png,Cargo_x10281_y2038_vh.png,Cargo_x10281_y2038.png,Cargo_x10281_y2038_vh.png,VV,VH,VV,"VV,VH",matched,4,ecb35e180-01e0-eae5-bf36-265af268e0c2,525012397,KM INTI MULIA,IDN,POJL,8859055.0,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2023-05-13T08:57:28Z,2026-06-01T20:23:25Z,,,,,,,,,,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,7.76232,91.30339379709048,5.139778046840553,62.0,99.0,2.8058833174746667,262.8427106309679,17.866023130250504,2026-02-05T21:00:00+00:00,2026-02-05T22:00:00+00:00,-4.84,126.66999816894533,-4.86,126.51000213623048,1.7935400435057431,8.460683166122607,,already_filled,,,,,,exact_scene_position_match,263.1000061035156,S1A_IW_GRDH_1SDV_20260205T211120_20260205T211145_063089_07EB08_89B0;126.6840210;-4.8319420,1770325893,0.03425010131594132,6.899993896484375,,public-global-vessel-identity:v4.0,,,8859055.0,1568.0,1570.0,GFW selfReportedInfo.imo,"VesselFinder details page, IMO exact match","Maritime Optima vessel page, IMO/MMSI exact match",derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,https://www.vesselfinder.com/vessels/details/8859055,1568.0,8859055.0,525012397.0,KM INTI MULIA,https://www.vesselfinder.com/vessels/details/8859055,matched_by_imo,,,,,,,https://maritimeoptima.com/public/vessels/pages/imo%3A8859055/mmsi%3A525012397/KM_INTI_MULIA.html,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
S1A_IW_GRDH_1SDV_20260202T204730_20260202T204755_063045_07E96C_8B5B,10334,10130,Cargo_x10334_y10130.tif,Cargo_x10334_y10130.tif,Cargo,10326,10130,10342,10130,10302,10098,10366,10162,153.612259,132.174110444676,-8.629873209897486,,,,,,525100392,,,,,,,,,,,,,SPIL HAPSRI,CARGO,,,Cargo,10165.0,10819.0,Cargo_x10334_y10130_vv.tif,Cargo_x10334_y10130_vh.tif,Cargo_x10334_y10130.tif,Cargo_x10334_y10130_vh.tif,Cargo_x10334_y10130_vv.tif,Cargo_x10334_y10130_vh.tif,Cargo_x10334_y10130.tif,Cargo_x10334_y10130_vh.tif,Cargo_x10334_y10130_vv.tif,Cargo_x10334_y10130_vh.tif,Cargo_x10334_y10130.tif,Cargo_x10334_y10130_vh.tif,Cargo_x10334_y10130_vv.png,Cargo_x10334_y10130_vh.png,Cargo_x10334_y10130.png,Cargo_x10334_y10130_vh.png,VV,VH,VV,"VV,VH",matched,1,36b6f2b0c-cddb-0be6-1ac7-1572273f1192,525100392,SPIL HAPSRI,IDN,YBRZ2,9821665.0,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2017-04-06T12:33:03Z,2026-06-01T23:27:58Z,registry_ssvid_exact,525100392.0,SPILHAPSRI,NIU,9821665.0,,,,10165.0,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,15.3612259,90.80812854986311,14.223045839496397,66.0,99.5,0.7752238188648448,269.9902473271385,14.290555338563436,2026-02-02T20:00:00+00:00,2026-02-02T21:00:00+00:00,-8.63,132.17999267578125,-8.63,132.0500030517578,0.6468234619299016,0.8178812227246226,,already_filled,,,,,,exact_scene_position_match,268.1000061035156,S1A_IW_GRDH_1SDV_20260202T204730_20260202T204755_063045_07E96C_8B5B;132.1741100;-8.6298730,1770065263,0.05417170288046938,1.899993896484375,,public-global-vessel-identity:v4.0,GFW registryInfo.tonnageGt,,9821665.0,10165.0,10819.0,GFW registryInfo.imo,GFW registryInfo.tonnageGt,"Maritime Optima vessel page, IMO/MMSI exact match",derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,,,,,,,,,,,,,,https://maritimeoptima.com/public/vessels/pages/imo%3A9821665/mmsi%3A525100392/SPIL_HAPSRI.html,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,10995,10227,Cargo_x10995_y10227.tif,Cargo_x10995_y10227.tif,Cargo,10991,10233,10999,10221,10963,10195,11027,10259,143.992752,119.8831024841524,0.6254454162473657,,,,,,525501415,,,,,,,,,,,,,KM DEWI BULAN 89,CARGO,,,Cargo,4441.0,6208.0,Cargo_x10995_y10227_vv.tif,Cargo_x10995_y10227_vh.tif,Cargo_x10995_y10227.tif,Cargo_x10995_y10227_vh.tif,Cargo_x10995_y10227_vv.tif,Cargo_x10995_y10227_vh.tif,Cargo_x10995_y10227.tif,Cargo_x10995_y10227_vh.tif,Cargo_x10995_y10227_vv.tif,Cargo_x10995_y10227_vh.tif,Cargo_x10995_y10227.tif,Cargo_x10995_y10227_vh.tif,Cargo_x10995_y10227_vv.png,Cargo_x10995_y10227_vh.png,Cargo_x10995_y10227.png,Cargo_x10995_y10227_vh.png,VV,VH,VV,"VV,VH",matched,2,b5085b773-3fa1-73f0-1aae-2a49d8c29d5a,525501415,KM DEWI BULAN 89,IDN,YDZM2,8595697.0,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2023-03-30T00:04:24Z,2026-06-01T23:57:25Z,,,,,,,,,,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,14.3992752,29.42097356269229,7.996214638608089,74.0,98.0,2.811991729599025,216.87104103154945,11.119626941359046,2026-02-01T21:00:00+00:00,2026-02-01T22:00:00+00:00,0.65,119.9000015258789,0.57,119.83999633789062,3.314415191200238,7.450067468857167,,already_filled,,,,,,exact_scene_position_match,216.1999969482422,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84;119.8831020;0.62544500,1769982166,0.07099416112995552,2.5099294222624167,,public-global-vessel-identity:v4.0,,,8595697.0,4441.0,6208.0,GFW selfReportedInfo.imo,"VesselFinder details page, IMO exact match","Maritime Optima vessel page, IMO/MMSI exact match",derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,https://www.vesselfinder.com/vessels/details/8595697,4441.0,8595697.0,525501415.0,KM DEWI BULAN 89,https://www.vesselfinder.com/vessels/details/8595697,matched_by_imo,,,,,,,https://maritimeoptima.com/public/vessels/pages/imo%3A8595697/mmsi%3A525501415/KM_DEWI_BULAN_89.html,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
S1A_IW_GRDH_1SDV_20260208T213606_20260208T213631_063133_07ECB4_A064,11209,8359,Cargo_x11209_y8359.tif,Cargo_x11209_y8359.tif,Cargo,11206,8359,11212,8359,11177,8327,11241,8391,63.5844345,120.56859297965244,-5.690784127751207,,,,,,525005193,,,,,,,,,,,,,DHARMA KARTIKA III,CARGO,,,Cargo,2624.0,230.0,Cargo_x11209_y8359_vv.tif,Cargo_x11209_y8359_vh.tif,Cargo_x11209_y8359.tif,Cargo_x11209_y8359_vh.tif,Cargo_x11209_y8359_vv.tif,Cargo_x11209_y8359_vh.tif,Cargo_x11209_y8359.tif,Cargo_x11209_y8359_vh.tif,Cargo_x11209_y8359_vv.tif,Cargo_x11209_y8359_vh.tif,Cargo_x11209_y8359.tif,Cargo_x11209_y8359_vh.tif,Cargo_x11209_y8359_vv.png,Cargo_x11209_y8359_vh.png,Cargo_x11209_y8359.png,Cargo_x11209_y8359_vh.png,VV,VH,VV,"VV,VH",matched,2,63de2d1ec-c246-2e0c-8f6d-7342e12f4ec5,525005193,DHARMA KARTIKA III,IDN,YCQG,8815358.0,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2013-06-21T14:44:11Z,2026-06-01T09:55:35Z,registry_ssvid_exact,525005193.0,DHARMAKARTIKA3,IDN,8815358.0,,,,2624.0,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,6.35844345,,,,,,,,,,,,,,,,,not_filled,VV dan VH tidak memiliki konsensus arah yang kuat,,,,,exact_scene_position_match,264.0,S1A_IW_GRDH_1SDV_20260208T213606_20260208T213631_063133_07ECB4_A064;120.5685930;-5.6907840,1770586579,0.014382611576648946,6.0,,public-global-vessel-identity:v4.0,GFW registryInfo.tonnageGt,,8815358.0,2624.0,230.0,GFW registryInfo.imo,GFW registryInfo.tonnageGt,"Maritime Optima vessel page, IMO/MMSI exact match",derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,,,,,,,,,,,,,,https://maritimeoptima.com/public/vessels/pages/imo%3A8815358/mmsi%3A525005193/DHARMA_KARTIKA_III.html,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
S1A_IW_GRDH_1SDV_20260201T214413_20260201T214438_063031_07E8E6_4D01,11650,9884,Cargo_x11650_y9884.tif,Cargo_x11650_y9884.tif,Cargo,11661,9891,11639,9877,11618,9852,11682,9916,257.931732,118.64691981292106,-5.372169490867878,,,,,,525501836,,,,,,,,,,,,,SEA ROSE,CARGO,,,Cargo,62272.0,104988.0,Cargo_x11650_y9884_vv.tif,Cargo_x11650_y9884_vh.tif,Cargo_x11650_y9884.tif,Cargo_x11650_y9884_vh.tif,Cargo_x11650_y9884_vv.tif,Cargo_x11650_y9884_vh.tif,Cargo_x11650_y9884.tif,Cargo_x11650_y9884_vh.tif,Cargo_x11650_y9884_vv.tif,Cargo_x11650_y9884_vh.tif,Cargo_x11650_y9884.tif,Cargo_x11650_y9884_vh.tif,Cargo_x11650_y9884_vv.png,Cargo_x11650_y9884_vh.png,Cargo_x11650_y9884.png,Cargo_x11650_y9884_vh.png,VV,VH,VV,"VV,VH",matched,1,7680afecc-cd16-c667-3bbb-7495e61f745b,525501836,SEA ROSE,IDN,YDCD3,9481647.0,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2023-07-12T16:07:14Z,2026-06-01T23:57:18Z,,,,,,,,,,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,25.7931732,128.32139868171714,12.55873850759736,25.0,99.0,1.2376662388155637,119.17174420318167,22.81859954128347,2026-02-01T21:00:00+00:00,2026-02-01T22:00:00+00:00,-5.36,118.62999725341795,-5.46,118.80999755859376,2.311052624819408,9.149654478535467,,filled,,VH_rescue,77.92369715200282,128.32139868171714,,exact_scene_position_match,121.0,S1A_IW_GRDH_1SDV_20260201T214413_20260201T214438_063031_07E8E6_4D01;118.6469200;-5.3721690,1769982266,0.05837932605361537,1.471192290848478,,public-global-vessel-identity:v4.0,,,9481647.0,62272.0,104988.0,GFW selfReportedInfo.imo,"VesselFinder details page, IMO exact match","Maritime Optima vessel page, IMO/MMSI exact match",derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,https://www.vesselfinder.com/vessels/details/9481647,62272.0,9481647.0,525501836.0,SEA ROSE,https://www.vesselfinder.com/vessels/details/9481647,matched_by_imo,,,,,,,https://maritimeoptima.com/public/vessels/pages/imo%3A9481647/mmsi%3A525501836/SEA_ROSE.html,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
S1A_IW_GRDH_1SDV_20260202T100136_20260202T100148_063038_07E928_4736,11680,4985,Cargo_x11680_y4985.tif,Cargo_x11680_y4985.tif,Cargo,11675,4987,11685,4983,11648,4953,11712,5017,108.909348,124.91866979603756,-4.710930820553164,,,,,,525901589,,,,,,,,,,,,,BUANA KARYA I,CARGO,,,Cargo,2998.0,4970.0,Cargo_x11680_y4985_vv.tif,Cargo_x11680_y4985_vh.tif,Cargo_x11680_y4985.tif,Cargo_x11680_y4985_vh.tif,Cargo_x11680_y4985_vv.tif,Cargo_x11680_y4985_vh.tif,Cargo_x11680_y4985.tif,Cargo_x11680_y4985_vh.tif,Cargo_x11680_y4985_vv.tif,Cargo_x11680_y4985_vh.tif,Cargo_x11680_y4985.tif,Cargo_x11680_y4985_vh.tif,Cargo_x11680_y4985_vv.png,Cargo_x11680_y4985_vh.png,Cargo_x11680_y4985.png,Cargo_x11680_y4985_vh.png,VV,VH,VV,"VV,VH",matched,1,98815520a-a3e3-432b-2294-ba0acb2472b2,525901589,BUANA KARYA I,IDN,YDDO4,8559502.0,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2025-08-28T06:00:37Z,2026-06-01T23:57:02Z,,,,,,,,,,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,10.8909348,74.40536960642264,8.581956886291687,54.0,99.5,0.4730199662041485,250.27709814768517,16.479400755701153,2026-02-02T10:00:00+00:00,2026-02-02T11:00:00+00:00,-4.75,124.80999755859376,-4.8,124.66999816894533,5.816965593838454,4.128271458737501,,already_filled,,,,,,exact_scene_position_match,252.0,S1A_IW_GRDH_1SDV_20260202T100136_20260202T100148_063038_07E928_4736;124.9186700;-4.7109310,1770026502,0.030150323908008092,3.8014094863518153,,public-global-vessel-identity:v4.0,,,8559502.0,2998.0,4970.0,GFW selfReportedInfo.imo,"VesselFinder details page, IMO exact match","Maritime Optima vessel page, IMO/MMSI exact match",derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,https://www.vesselfinder.com/vessels/details/8559502,2998.0,8559502.0,525901589.0,BUANA KARYA I,https://www.vesselfinder.com/vessels/details/8559502,matched_by_imo,,,,,,,https://maritimeoptima.com/public/vessels/pages/imo%3A8559502/mmsi%3A525901589/BUANA_KARYA_I.html,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,1261,13009,Cargo_x1261_y13009.tif,Cargo_x1261_y13009.tif,Cargo,1259,13021,1263,12997,1229,12977,1293,13041,243.183975,119.32641684290748,1.880650183649138,,,,,,636021334,,,,,,,,,,,,,CHAILEASE BRIGHT,CARGO,,,Cargo,41684.0,76249.0,Cargo_x1261_y13009_vv.tif,Cargo_x1261_y13009_vh.tif,Cargo_x1261_y13009.tif,Cargo_x1261_y13009_vh.tif,Cargo_x1261_y13009_vv.tif,Cargo_x1261_y13009_vh.tif,Cargo_x1261_y13009.tif,Cargo_x1261_y13009_vh.tif,Cargo_x1261_y13009_vv.tif,Cargo_x1261_y13009_vh.tif,Cargo_x1261_y13009.tif,Cargo_x1261_y13009_vh.tif,Cargo_x1261_y13009_vv.png,Cargo_x1261_y13009_vh.png,Cargo_x1261_y13009.png,Cargo_x1261_y13009_vh.png,VV,VH,VV,"VV,VH",matched,1,aaa26aea0-002f-05bb-ee13-0505675a5855,636021334,CHAILEASE BRIGHT,LBR,5LDL6,9642485.0,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2021-11-20T13:36:18Z,2026-06-01T23:56:41Z,,,,,,,,,,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,24.3183975,13.017720288614829,558.539520665658,265.0,98.0,2.6159470657652086,185.7068570531756,22.349775682836142,2026-02-01T21:00:00+00:00,2026-02-01T22:00:00+00:00,2.0,119.33999633789062,1.8,119.31999969482422,8.996217632646433,7.310863235439246,,already_filled,,,,,,exact_scene_position_match,187.5,S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878;119.3264170;1.88065000,1769982141,0.026866556465526083,1.9623222080256255,,public-global-vessel-identity:v4.0,,,9642485.0,41684.0,76249.0,GFW selfReportedInfo.imo,"VesselFinder details page, IMO exact match","Maritime Optima vessel page, IMO/MMSI exact match",derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,https://www.vesselfinder.com/vessels/details/9642485,41684.0,9642485.0,636021334.0,CHAILEASE BRIGHT,https://www.vesselfinder.com/vessels/details/9642485,matched_by_imo,,,,,,,https://maritimeoptima.com/public/vessels/pages/imo%3A9642485/mmsi%3A636021334/CHAILEASE_BRIGHT.html,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
S1A_IW_GRDH_1SDV_20260207T223355_20260207T223422_063119_07EC28_536D,12624,2066,Cargo_x12624_y2066.tif,Cargo_x12624_y2066.tif,Cargo,12620,2064,12628,2068,12592,2034,12656,2098,91.5324936,106.10541811250734,-5.887636970273862,,,,,,525401680,,,,,,,,,,,,,KM JAYA ELO.6,CARGO,,,Cargo,,,Cargo_x12624_y2066_vv.tif,Cargo_x12624_y2066_vh.tif,Cargo_x12624_y2066.tif,Cargo_x12624_y2066_vh.tif,Cargo_x12624_y2066_vv.tif,Cargo_x12624_y2066_vh.tif,Cargo_x12624_y2066.tif,Cargo_x12624_y2066_vh.tif,Cargo_x12624_y2066_vv.tif,Cargo_x12624_y2066_vh.tif,Cargo_x12624_y2066.tif,Cargo_x12624_y2066_vh.tif,Cargo_x12624_y2066_vv.png,Cargo_x12624_y2066_vh.png,Cargo_x12624_y2066.png,Cargo_x12624_y2066_vh.png,VV,VH,VV,"VV,VH",matched,1,f393a11ec-cdc2-3fa6-b0c4-feb63093a4c2,525401680,KM JAYA ELO.6,IDN,YDUS2,,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2022-09-16T10:10:06.8Z,2026-06-01T22:17:43Z,,,,,,,,,,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,9.15324936,,,,,,,,,,,,,,,,,not_filled,pergerakan AIS terlalu kecil untuk menentukan kepala,,,,,exact_scene_position_match,291.3,S1A_IW_GRDH_1SDV_20260207T223355_20260207T223422_063119_07EC28_536D;106.1054180;-5.8876370,1770503649,0.01287577338743725,5.265051177077964,,public-global-vessel-identity:v4.0,,,,,,,,,derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,,,,525401680.0,KM JAYA ELO.6,https://www.vesselfinder.com/vessels/details/525401680,,http_ok,,,,,,,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
S1A_IW_GRDH_1SDV_20260208T213336_20260208T213401_063133_07ECB4_C20A,12821,12641,Cargo_x12821_y12641.tif,Cargo_x12821_y12641.tif,Cargo,12820,12635,12822,12647,12789,12609,12853,12673,113.841011,122.64335167496536,2.9666403536604022,,,,,,357007000,,,,,,,,,,,,,CHANG LONG,CARGO,,,Cargo,8979.0,13618.0,Cargo_x12821_y12641_vv.tif,Cargo_x12821_y12641_vh.tif,Cargo_x12821_y12641.tif,Cargo_x12821_y12641_vh.tif,Cargo_x12821_y12641_vv.tif,Cargo_x12821_y12641_vh.tif,Cargo_x12821_y12641.tif,Cargo_x12821_y12641_vh.tif,Cargo_x12821_y12641_vv.tif,Cargo_x12821_y12641_vh.tif,Cargo_x12821_y12641.tif,Cargo_x12821_y12641_vh.tif,Cargo_x12821_y12641_vv.png,Cargo_x12821_y12641_vh.png,Cargo_x12821_y12641.png,Cargo_x12821_y12641_vh.png,VV,VH,VV,"VV,VH",matched,2,03cf10ca1-1298-267c-2e6a-6dc301d1801d,357007000,CHANG LONG,PAN,3FXW2,9545637.0,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,CARGO,COMBINATION_OF_REGISTRY_AND_AIS_INFERRED_NN_INFO,2012-01-03T03:45:56Z,2026-06-01T23:54:39Z,registry_ssvid_exact,357007000.0,CHANGLONG,PAN,9545637.0,,,,8979.0,,,filled,GFW_SAR_position_tile_bearing_plus_GFW_SAR_length,official_source_exact_scene_position,10.0,11.3841011,13.227750415376091,32.119239367583006,66.0,99.0,3.7893552278607543,356.1906756033029,16.71619871474063,2026-02-08T21:00:00+00:00,2026-02-08T22:00:00+00:00,2.95,122.63999938964844,3.1,122.62999725341795,1.887400982435616,17.037074812073172,,already_filled,,,,,,exact_scene_position_match,353.0,S1A_IW_GRDH_1SDV_20260208T213336_20260208T213401_063133_07ECB4_C20A;122.6433520;2.96664000,1770586429,0.05337829727253279,2.4623222080256255,,public-global-vessel-identity:v4.0,GFW registryInfo.tonnageGt,,9545637.0,8979.0,13618.0,GFW registryInfo.imo,GFW registryInfo.tonnageGt,"Maritime Optima vessel page, IMO/MMSI exact match",derived_from_crop_window,Center_x/Center_y +/- patch_size/2; patch_size=64; LowerRight is exclusive crop-window edge,,,,,,,,,,,,,,,https://maritimeoptima.com/public/vessels/pages/imo%3A9545637/mmsi%3A357007000/CHANG_LONG.html,,,,,,,64,FULL_FISHING_CARGO_PASSENGER_64_FINAL,,,
